Start Date,1/1/2024,,,Company:,Salesforce,,Hubspot
End Date,3/31/2026,,,Ticker Symbol:,CRM,,HUBS
,,,,,,,
,,,,,,,
,,,,Date,Close,,Close
,,,,6/28/2025, $201.39 ,, $291.47 
,,,,6/29/2025, $202.11 ,, $296.56 
,,,,6/30/2025, $198.79 ,, $286.84 
,,,,7/1/2025, $194.91 ,, $269.32 
,,,,7/2/2025, $194.13 ,, $259.10 
,,,,7/3/2025, $199.28 ,, $257.63 
,,,,7/4/2025, $192.83 ,, $264.30 
,,,,7/5/2025, $198.34 ,, $264.56 
,,,,7/6/2025, $195.31 ,, $265.55 
,,,,7/7/2025, $194.34 ,, $262.11 
,,,,7/8/2025, $194.99 ,, $262.32 
,,,,7/9/2025, $195.38 ,, $258.81 
,,,,7/10/2025, $195.18 ,, $262.06 
,,,,7/11/2025, $183.02 ,, $237.94 
,,,,7/12/2025, $181.96 ,, $238.07 
,,,,7/13/2025, $185.64 ,, $245.07 
,,,,7/14/2025, $179.31 ,, $230.79 
,,,,7/15/2025, $185.03 ,, $237.81 
,,,,7/16/2025, $186.67 ,, $244.10 
,,,,7/17/2025,,,
,,,,7/18/2025,,,
,,,,7/19/2025,,,
,,,,7/20/2025,,,
,,,,7/21/2025,,,
,,,,7/22/2025,,,
,,,,7/23/2025,,,
,,,,7/24/2025,,,
,,,,7/25/2025,,,
,,,,7/26/2025,,,
,,,,7/27/2025,,,
,,,,7/28/2025,,,
,,,,7/29/2025,,,
,,,,7/30/2025,,,
,,,,7/31/2025,,,
,,,,8/1/2025,,,
,,,,8/2/2025,,,
,,,,8/3/2025,,,
,,,,8/4/2025,,,
,,,,8/5/2025,,,
,,,,8/6/2025,,,
,,,,8/7/2025,,,
,,,,8/8/2025,,,
,,,,8/9/2025,,,
,,,,8/10/2025,,,
,,,,8/11/2025,,,
,,,,8/12/2025,,,
,,,,8/13/2025,,,
,,,,8/14/2025,,,
,,,,8/15/2025,,,
,,,,8/16/2025,,,
,,,,8/17/2025,,,
,,,,8/18/2025,,,
,,,,8/19/2025,,,
,,,,8/20/2025,,,
,,,,8/21/2025,,,
,,,,8/22/2025,,,
,,,,8/23/2025,,,
,,,,8/24/2025,,,
,,,,8/25/2025,,,
,,,,8/26/2025,,,
,,,,8/27/2025,,,
,,,,8/28/2025,,,
,,,,8/29/2025,,,
,,,,8/30/2025,,,
,,,,8/31/2025,,,
,,,,9/1/2025,,,
,,,,9/2/2025,,,
,,,,9/3/2025,,,
,,,,9/4/2025,,,
,,,,9/5/2025,,,
,,,,9/6/2025,,,
,,,,9/7/2025,,,
,,,,9/8/2025,,,
,,,,9/9/2025,,,
,,,,9/10/2025,,,
,,,,9/11/2025,,,
,,,,9/12/2025,,,
,,,,9/13/2025,,,
,,,,9/14/2025,,,
,,,,9/15/2025,,,
,,,,9/16/2025,,,
,,,,9/17/2025,,,
,,,,9/18/2025,,,
,,,,9/19/2025,,,
,,,,9/20/2025,,,
,,,,9/21/2025,,,
,,,,9/22/2025,,,
,,,,9/23/2025,,,
,,,,9/24/2025,,,
,,,,9/25/2025,,,
,,,,9/26/2025,,,
,,,,9/27/2025,,,
,,,,9/28/2025,,,
,,,,9/29/2025,,,
,,,,9/30/2025,,,
,,,,10/1/2025,,,
,,,,10/2/2025,,,
,,,,10/3/2025,,,
,,,,10/4/2025,,,
,,,,10/5/2025,,,
,,,,10/6/2025,,,
,,,,10/7/2025,,,
,,,,10/8/2025,,,
,,,,10/9/2025,,,
,,,,10/10/2025,,,
,,,,10/11/2025,,,
,,,,10/12/2025,,,
,,,,10/13/2025,,,
,,,,10/14/2025,,,
,,,,10/15/2025,,,
,,,,10/16/2025,,,
,,,,10/17/2025,,,
,,,,10/18/2025,,,
,,,,10/19/2025,,,
,,,,10/20/2025,,,
,,,,10/21/2025,,,
,,,,10/22/2025,,,
,,,,10/23/2025,,,
,,,,10/24/2025,,,
,,,,10/25/2025,,,
,,,,10/26/2025,,,
,,,,10/27/2025,,,
,,,,10/28/2025,,,
,,,,10/29/2025,,,
,,,,10/30/2025,,,
,,,,10/31/2025,,,
,,,,11/1/2025,,,
,,,,11/2/2025,,,
,,,,11/3/2025,,,
,,,,11/4/2025,,,
,,,,11/5/2025,,,
,,,,11/6/2025,,,
,,,,11/7/2025,,,
,,,,11/8/2025,,,
,,,,11/9/2025,,,
,,,,11/10/2025,,,
,,,,11/11/2025,,,
,,,,11/12/2025,,,
,,,,11/13/2025,,,
,,,,11/14/2025,,,
,,,,11/15/2025,,,
,,,,11/16/2025,,,
,,,,11/17/2025,,,
,,,,11/18/2025,,,
,,,,11/19/2025,,,
,,,,11/20/2025,,,
,,,,11/21/2025,,,
,,,,11/22/2025,,,
,,,,11/23/2025,,,
,,,,11/24/2025,,,
,,,,11/25/2025,,,
,,,,11/26/2025,,,
,,,,11/27/2025,,,
,,,,11/28/2025,,,
,,,,11/29/2025,,,
,,,,11/30/2025,,,
,,,,12/1/2025,,,
,,,,12/2/2025,,,
,,,,12/3/2025,,,
,,,,12/4/2025,,,
,,,,12/5/2025,,,
,,,,12/6/2025,,,
,,,,12/7/2025,,,
,,,,12/8/2025,,,
,,,,12/9/2025,,,
,,,,12/10/2025,,,
,,,,12/11/2025,,,
,,,,12/12/2025,,,
,,,,12/13/2025,,,
,,,,12/14/2025,,,
,,,,12/15/2025,,,
,,,,12/16/2025,,,
,,,,12/17/2025,,,
,,,,12/18/2025,,,
,,,,12/19/2025,,,
,,,,12/20/2025,,,
,,,,12/21/2025,,,
,,,,12/22/2025,,,
,,,,12/23/2025,,,
,,,,12/24/2025,,,
,,,,12/25/2025,,,
,,,,12/26/2025,,,
,,,,12/27/2025,,,
,,,,12/28/2025,,,
,,,,12/29/2025,,,
,,,,12/30/2025,,,
,,,,12/31/2025,,,
,,,,1/1/2026,,,
,,,,1/2/2026,,,
,,,,1/3/2026,,,
,,,,1/4/2026,,,
,,,,1/5/2026,,,
,,,,1/6/2026,,,
,,,,1/7/2026,,,
,,,,1/8/2026,,,
,,,,1/9/2026,,,
,,,,1/10/2026,,,
,,,,1/11/2026,,,
,,,,1/12/2026,,,
,,,,1/13/2026,,,
,,,,1/14/2026,,,
,,,,1/15/2026,,,
,,,,1/16/2026,,,
,,,,1/17/2026,,,
,,,,1/18/2026,,,
,,,,1/19/2026,,,
,,,,1/20/2026,,,
,,,,1/21/2026,,,
,,,,1/22/2026,,,
,,,,1/23/2026,,,
,,,,1/24/2026,,,
,,,,1/25/2026,,,
,,,,1/26/2026,,,
,,,,1/27/2026,,,
,,,,1/28/2026,,,
,,,,1/29/2026,,,
,,,,1/30/2026,,,
,,,,1/31/2026,,,
,,,,2/1/2026,,,
,,,,2/2/2026,,,
,,,,2/3/2026,,,
,,,,2/4/2026,,,
,,,,2/5/2026,,,
,,,,2/6/2026,,,
,,,,2/7/2026,,,
,,,,2/8/2026,,,
,,,,2/9/2026,,,
,,,,2/10/2026,,,
,,,,2/11/2026,,,
,,,,2/12/2026,,,
,,,,2/13/2026,,,
,,,,2/14/2026,,,
,,,,2/15/2026,,,
,,,,2/16/2026,,,
,,,,2/17/2026,,,
,,,,2/18/2026,,,
,,,,2/19/2026,,,
,,,,2/20/2026,,,
,,,,2/21/2026,,,
,,,,2/22/2026,,,
,,,,2/23/2026,,,
,,,,2/24/2026,,,
,,,,2/25/2026,,,
,,,,2/26/2026,,,
,,,,2/27/2026,,,
,,,,2/28/2026,,,
,,,,3/1/2026,,,
,,,,3/2/2026,,,
,,,,3/3/2026,,,
,,,,3/4/2026,,,
,,,,3/5/2026,,,
,,,,3/6/2026,,,
,,,,3/7/2026,,,
,,,,3/8/2026,,,
,,,,3/9/2026,,,
,,,,3/10/2026,,,
,,,,3/11/2026,,,
,,,,3/12/2026,,,
,,,,3/13/2026,,,
,,,,3/14/2026,,,
,,,,3/15/2026,,,
,,,,3/16/2026,,,
,,,,3/17/2026,,,
,,,,3/18/2026,,,
,,,,3/19/2026,,,
,,,,3/20/2026,,,
,,,,3/21/2026,,,
,,,,3/22/2026,,,
,,,,3/23/2026,,,
,,,,3/24/2026,,,
,,,,3/25/2026,,,
,,,,3/26/2026,,,
,,,,3/27/2026,,,
,,,,3/28/2026,,,
,,,,3/29/2026,,,
